,STATION,NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
0,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-07,3.97,0.0,78.8,85.9,71.7
1,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-08,2.35,0.0,79.0,86.9,71.0
2,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-09,3.28,0.0,74.4,82.6,66.3
3,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-10,3.91,0.0,58.0,65.4,50.7
4,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-11,2.02,0.0,52.8,59.3,46.3
5,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-12,4.72,0.0,50.8,56.3,45.3
6,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-01,4.41,27.9,34.5,40.8,28.2
7,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-02,4.41,4.1,37.8,44.9,30.7
8,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-03,1.17,0.9,48.9,57.4,40.4
9,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-04,1.62,0.0,53.3,62.2,44.4
10,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-05,3.76,0.0,62.8,70.6,55.0
0,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-07,7.02,0.0,78.7,86.3,71.1
1,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-08,1.98,0.0,79.2,86.6,71.8
2,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-09,2.8,0.0,71.8,79.0,64.6
3,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-10,4.15,0.0,58.8,65.8,51.7
4,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-11,5.41,0.0,49.8,56.6,42.9
5,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-12,2.89,3.2,38.4,43.9,32.9
6,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-01,4.83,7.9,38.0,42.8,33.3
7,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-02,2.48,9.4,41.7,48.7,34.6
8,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-03,5.25,9.7,39.2,46.8,31.7
9,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-04,3.84,0.0,57.1,64.9,49.4
10,USW00094728,"NY CITY CENTRAL PARK, NY US",2017-05,6.38,0.0,61.1,68.2,54.0
