"STATION","NAME","DATE","EMSD","EMSN","EMXP","PRCP","SNOW","TAVG","TMAX","TMIN"
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-09",,,"2.33","4.41",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2015-07",,,"1.23","3.41",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2015-09",,,"2.16","4.96",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2015-10",,,"2.61","4.48",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2015-11",,,"1.32","2.12",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2015-12",,,"1.11","4.78",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2016-01",,,"1.49","3.77",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2016-02",,,"2.39","4.57",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2016-03",,,"0.35","1.33",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2016-04",,,"0.42","2.00",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2016-05",,,"0.62","3.62",,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07","0","0.0","0.56","2.25","0.0","75.1","86.1","64.1"
"USC00280907","BOONTON 1 SE, NJ US","2015-08","0","0.0","0.59","2.11","0.0","73.8","85.8","61.8"
"USC00280907","BOONTON 1 SE, NJ US","2015-09","0","0.0","2.60","5.52","0.0","69.2","81.4","57.0"
"USC00280907","BOONTON 1 SE, NJ US","2015-10","0","0.0","2.38","4.07","0.0","52.5","63.9","41.1"
"USC00280907","BOONTON 1 SE, NJ US","2015-11","0","0.0","1.57","2.40","0.0","47.6","57.6","37.6"
"USC00280907","BOONTON 1 SE, NJ US","2015-12","0","0.0","0.58","1.71","0.0","44.9","52.8","37.1"
"USC00280907","BOONTON 1 SE, NJ US","2016-01","9","1.0","1.21","2.59","1.0","29.6","38.0","21.2"
"USC00280907","BOONTON 1 SE, NJ US","2016-02","2","1.5","1.86","3.72","2.5","33.6","42.9","24.3"
"USC00280907","BOONTON 1 SE, NJ US","2016-03","0","0.1","0.30","1.21","0.1","44.8","55.7","33.9"
