"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","YEAR","MONTH",
0.00,249.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10540,1054003,30540,"BED","Bedford, MA","MA",15096,1509602,35096,"SYR","Syracuse, NY","NY",2017,1,
0.00,163.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11764,1176402,31764,"FRG","East Farmingdale, NY","NY",10540,1054003,30540,"BED","Bedford, MA","MA",2017,1,
0.00,749.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11764,1176402,31764,"FRG","East Farmingdale, NY","NY",13232,1323202,30977,"MDW","Chicago, IL","IL",2017,1,
0.00,1430.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11789,1178904,30194,"FTW","Dallas/Fort Worth, TX","TX",11764,1176402,31764,"FRG","East Farmingdale, NY","NY",2017,1,
0.00,525.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11995,1199502,31995,"GSO","Greensboro/High Point, NC","NC",15096,1509602,35096,"SYR","Syracuse, NY","NY",2017,1,
0.00,366.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12197,1219702,31703,"HPN","White Plains, NY","NY",11027,1102703,31027,"CKB","Clarksburg/Fairmont, WV","WV",2017,1,
0.00,35.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12197,1219702,31703,"HPN","White Plains, NY","NY",11618,1161802,31703,"EWR","Newark, NJ","NJ",2017,1,
0.00,2477.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12892,1289204,32575,"LAX","Los Angeles, CA","CA",12197,1219702,31703,"HPN","White Plains, NY","NY",2017,1,
0.00,568.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12945,1294503,32945,"LEX","Lexington, KY","KY",15096,1509602,35096,"SYR","Syracuse, NY","NY",2017,1,
0.00,985.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13244,1324402,33244,"MEM","Memphis, TN","TN",11764,1176402,31764,"FRG","East Farmingdale, NY","NY",2017,1,
