STATION,NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",2015-07,3.97,0,78.8,85.9,71.7
USW00094728,"NY CITY CENTRAL PARK, NY US",2015-08,2.35,0,79,86.9,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2015-09,3.28,0,74.4,82.6,66.3
USW00094728,"NY CITY CENTRAL PARK, NY US",2015-10,3.91,0,58,65.4,50.7
USW00094728,"NY CITY CENTRAL PARK, NY US",2015-11,2.02,0,52.8,59.3,46.3
USW00094728,"NY CITY CENTRAL PARK, NY US",2015-12,4.72,0,50.8,56.3,45.3
USW00094728,"NY CITY CENTRAL PARK, NY US",2016-01,4.41,27.9,34.5,40.8,28.2
USW00094728,"NY CITY CENTRAL PARK, NY US",2016-02,4.41,4.1,37.8,44.9,30.7
USW00094728,"NY CITY CENTRAL PARK, NY US",2016-03,1.17,0.9,48.9,57.4,40.4
USW00094728,"NY CITY CENTRAL PARK, NY US",2016-04,1.62,0,53.3,62.2,44.4
USW00094728,"NY CITY CENTRAL PARK, NY US",2016-05,3.76,0,62.8,70.6,55
