num,STATION,NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,YEAR,WEEK,WkStart,WkEnd,Mo_of_yr,MoY
3,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-10,3.91,0,58,65.4,50.7,2015,40,10/5/2015,10/11/2015,October,10/1/2015
3,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-10,3.91,0,58,65.4,50.7,2015,41,10/12/2015,10/18/2015,October,10/1/2015
3,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-10,3.91,0,58,65.4,50.7,2015,42,10/19/2015,10/25/2015,October,10/1/2015
3,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-10,3.91,0,58,65.4,50.7,2015,43,10/26/2015,11/1/2015,October,10/1/2015
4,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-11,2.02,0,52.8,59.3,46.3,2015,44,11/2/2015,11/8/2015,November,11/1/2015
4,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-11,2.02,0,52.8,59.3,46.3,2015,45,11/9/2015,11/15/2015,November,11/1/2015
4,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-11,2.02,0,52.8,59.3,46.3,2015,46,11/16/2015,11/22/2015,November,11/1/2015
4,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-11,2.02,0,52.8,59.3,46.3,2015,47,11/23/2015,11/29/2015,November,11/1/2015
5,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-12,4.72,0,50.8,56.3,45.3,2015,48,11/30/2015,12/6/2015,December,12/1/2015
5,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-12,4.72,0,50.8,56.3,45.3,2015,49,12/7/2015,12/13/2015,December,12/1/2015
5,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-12,4.72,0,50.8,56.3,45.3,2015,50,12/14/2015,12/20/2015,December,12/1/2015
5,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-12,4.72,0,50.8,56.3,45.3,2015,51,12/21/2015,12/27/2015,December,12/1/2015
5,USW00094728,"NY CITY CENTRAL PARK, NY US",2015-12,4.72,0,50.8,56.3,45.3,2015,52,12/28/2015,1/3/2016,December,12/1/2015
6,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-01,4.41,27.9,34.5,40.8,28.2,2016,1,1/4/2016,1/10/2016,January,1/1/2016
6,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-01,4.41,27.9,34.5,40.8,28.2,2016,2,1/11/2016,1/17/2016,January,1/1/2016
6,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-01,4.41,27.9,34.5,40.8,28.2,2016,3,1/18/2016,1/24/2016,January,1/1/2016
6,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-01,4.41,27.9,34.5,40.8,28.2,2016,4,1/25/2016,1/31/2016,January,1/1/2016
7,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-02,4.41,4.1,37.8,44.9,30.7,2016,5,2/1/2016,2/7/2016,February,2/1/2016
7,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-02,4.41,4.1,37.8,44.9,30.7,2016,6,2/8/2016,2/14/2016,February,2/1/2016
7,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-02,4.41,4.1,37.8,44.9,30.7,2016,7,2/15/2016,2/21/2016,February,2/1/2016
7,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-02,4.41,4.1,37.8,44.9,30.7,2016,8,2/22/2016,2/28/2016,February,2/1/2016
8,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-03,1.17,0.9,48.9,57.4,40.4,2016,9,2/29/2016,3/6/2016,March,3/1/2016
8,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-03,1.17,0.9,48.9,57.4,40.4,2016,10,3/7/2016,3/13/2016,March,3/1/2016
8,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-03,1.17,0.9,48.9,57.4,40.4,2016,11,3/14/2016,3/20/2016,March,3/1/2016
8,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-03,1.17,0.9,48.9,57.4,40.4,2016,12,3/21/2016,3/27/2016,March,3/1/2016
9,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-04,1.62,0,53.3,62.2,44.4,2016,13,3/28/2016,4/3/2016,April,4/1/2016
9,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-04,1.62,0,53.3,62.2,44.4,2016,14,4/4/2016,4/10/2016,April,4/1/2016
9,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-04,1.62,0,53.3,62.2,44.4,2016,15,4/11/2016,4/17/2016,April,4/1/2016
9,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-04,1.62,0,53.3,62.2,44.4,2016,16,4/18/2016,4/24/2016,April,4/1/2016
9,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-04,1.62,0,53.3,62.2,44.4,2016,17,4/25/2016,5/1/2016,April,4/1/2016
10,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-05,3.76,0,62.8,70.6,55,2016,18,5/2/2016,5/8/2016,May,5/1/2016
10,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-05,3.76,0,62.8,70.6,55,2016,19,5/9/2016,5/15/2016,May,5/1/2016
10,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-05,3.76,0,62.8,70.6,55,2016,20,5/16/2016,5/22/2016,May,5/1/2016
10,USW00094728,"NY CITY CENTRAL PARK, NY US",2016-05,3.76,0,62.8,70.6,55,2016,21,5/23/2016,5/29/2016,May,5/1/2016
