REGION TYPE,REGION,YEAR,WEEK,WkStart,WkEnd,Mo_of_yr,MoY,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New York,2015,40,10/5/2015,10/11/2015,October,10/1/2015,X,0.588433,X,X,X,X,X,X,70,80,11896
States,New York,2015,41,10/12/2015,10/18/2015,October,10/1/2015,X,0.557203,X,X,X,X,X,X,62,80,11127
States,New York,2015,42,10/19/2015,10/25/2015,October,10/1/2015,X,0.85962,X,X,X,X,X,X,115,82,13378
States,New York,2015,43,10/26/2015,11/1/2015,October,10/1/2015,X,0.816171,X,X,X,X,X,X,107,83,13110
States,New York,2015,44,11/2/2015,11/8/2015,November,11/1/2015,X,0.655665,X,X,X,X,X,X,89,84,13574
States,New York,2015,45,11/9/2015,11/15/2015,November,11/1/2015,X,0.723665,X,X,X,X,X,X,97,85,13404
States,New York,2015,46,11/16/2015,11/22/2015,November,11/1/2015,X,1.18498,X,X,X,X,X,X,159,82,13418
States,New York,2015,47,11/23/2015,11/29/2015,November,11/1/2015,X,0.97867,X,X,X,X,X,X,78,83,7970
States,New York,2015,48,11/30/2015,12/6/2015,December,12/1/2015,X,1.1818,X,X,X,X,X,X,141,80,11931
States,New York,2015,49,12/7/2015,12/13/2015,December,12/1/2015,X,1.51335,X,X,X,X,X,X,178,77,11762
States,New York,2015,50,12/14/2015,12/20/2015,December,12/1/2015,X,1.25511,X,X,X,X,X,X,129,80,10278
States,New York,2015,51,12/21/2015,12/27/2015,December,12/1/2015,X,2.14651,X,X,X,X,X,X,126,80,5870
States,New York,2015,52,12/28/2015,1/3/2016,December,12/1/2015,X,1.97842,X,X,X,X,X,X,99,78,5004
States,New York,2016,1,1/4/2016,1/10/2016,January,1/1/2016,X,1.15723,X,X,X,X,X,X,92,75,7950
States,New York,2016,2,1/11/2016,1/17/2016,January,1/1/2016,X,2.56989,X,X,X,X,X,X,205,78,7977
States,New York,2016,3,1/18/2016,1/24/2016,January,1/1/2016,X,1.90067,X,X,X,X,X,X,155,82,8155
States,New York,2016,4,1/25/2016,1/31/2016,January,1/1/2016,X,1.6013,X,X,X,X,X,X,167,81,10429
