PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS,,,,,,,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,WkStart,WkEnd,Mo_of_yr,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New York,2015,40,,,,X,0.588433,X,X,X,X,X,X,70,80,11896
States,New York,2015,41,,,,X,0.557203,X,X,X,X,X,X,62,80,11127
States,New York,2015,42,,,,X,0.85962,X,X,X,X,X,X,115,82,13378
States,New York,2015,43,,,,X,0.816171,X,X,X,X,X,X,107,83,13110
States,New York,2015,44,,,,X,0.655665,X,X,X,X,X,X,89,84,13574
States,New York,2015,45,,,,X,0.723665,X,X,X,X,X,X,97,85,13404
States,New York,2015,46,,,,X,1.18498,X,X,X,X,X,X,159,82,13418
States,New York,2015,47,,,,X,0.97867,X,X,X,X,X,X,78,83,7970
States,New York,2015,48,,,,X,1.1818,X,X,X,X,X,X,141,80,11931
States,New York,2015,49,,,,X,1.51335,X,X,X,X,X,X,178,77,11762
States,New York,2015,50,,,,X,1.25511,X,X,X,X,X,X,129,80,10278
States,New York,2015,51,,,,X,2.14651,X,X,X,X,X,X,126,80,5870
States,New York,2015,52,,,,X,1.97842,X,X,X,X,X,X,99,78,5004
States,New York,2016,1,1/4/2016,1/10/2016,January,X,1.15723,X,X,X,X,X,X,92,75,7950
States,New York,2016,2,1/11/2016,1/17/2016,January,X,2.56989,X,X,X,X,X,X,205,78,7977
States,New York,2016,3,1/18/2016,1/24/2016,January,X,1.90067,X,X,X,X,X,X,155,82,8155
States,New York,2016,4,1/25/2016,1/31/2016,January,X,1.6013,X,X,X,X,X,X,167,81,10429
States,New York,2016,5,2/1/2016,2/7/2016,February,X,1.7329,X,X,X,X,X,X,191,83,11022
States,New York,2016,6,2/8/2016,2/14/2016,February,X,2.71642,X,X,X,X,X,X,273,80,10050
States,New York,2016,7,2/15/2016,2/21/2016,February,X,1.76664,X,X,X,X,X,X,172,80,9736
States,New York,2016,8,2/22/2016,2/28/2016,February,X,2.83297,X,X,X,X,X,X,288,79,10166
States,New York,2016,9,2/29/2016,3/6/2016,March,X,3.41463,X,X,X,X,X,X,357,80,10455
States,New York,2016,10,3/7/2016,3/13/2016,March,X,3.41609,X,X,X,X,X,X,366,79,10714
States,New York,2016,11,3/14/2016,3/20/2016,March,X,3.80303,X,X,X,X,X,X,346,75,9098
States,New York,2016,12,3/21/2016,3/27/2016,March,X,2.89463,X,X,X,X,X,X,278,72,9604
States,New York,2016,13,3/28/2016,4/3/2016,April,X,1.59898,X,X,X,X,X,X,113,47,7067
States,New York,2016,14,4/4/2016,4/10/2016,April,X,1.35135,X,X,X,X,X,X,97,45,7178
States,New York,2016,15,4/11/2016,4/17/2016,April,X,1.53967,X,X,X,X,X,X,118,41,7664
States,New York,2016,16,4/18/2016,4/24/2016,April,X,1.09692,X,X,X,X,X,X,79,40,7202
States,New York,2016,17,4/25/2016,5/1/2016,April,X,1.0275,X,X,X,X,X,X,68,40,6618
States,New York,2016,18,5/2/2016,5/8/2016,May,X,0.858972,X,X,X,X,X,X,55,37,6403
States,New York,2016,19,5/9/2016,5/15/2016,May,X,0.552289,X,X,X,X,X,X,31,36,5613
States,New York,2016,20,5/16/2016,5/22/2016,May,X,0.529832,X,X,X,X,X,X,23,34,4341
States,New York,2016,21,5/23/2016,5/29/2016,May,X,0.327198,X,X,X,X,X,X,8,30,2445
States,New York,2016,22,5/30/2016,6/5/2016,June,X,0,X,X,X,X,X,X,0,32,1965
States,New York,2016,23,6/6/2016,6/12/2016,Jun,X,0,X,X,X,X,X,X,0,32,2372
States,New York,2016,24,6/13/2016,6/19/2016,Jun,X,0.0979912,X,X,X,X,X,X,2,30,2041
States,New York,2016,25,6/20/2016,6/26/2016,Jun,X,0.0453926,X,X,X,X,X,X,1,31,2203
States,New York,2016,26,6/27/2016,7/3/2016,July,X,0.0457247,X,X,X,X,X,X,1,31,2187
States,New York,2016,27,7/4/2016,7/10/2016,July,X,0,X,X,X,X,X,X,0,31,1800
States,New York,2016,28,7/11/2016,7/17/2016,July,X,0.0838926,X,X,X,X,X,X,2,30,2384
States,New York,2016,29,7/18/2016,7/24/2016,July,X,0,X,X,X,X,X,X,0,29,1968
States,New York,2016,30,7/25/2016,7/31/2016,July,X,0,X,X,X,X,X,X,0,30,2143
States,New York,2016,31,8/1/2016,8/7/2016,August,X,0.110742,X,X,X,X,X,X,2,26,1806
States,New York,2016,32,8/8/2016,8/14/2016,August,X,0,X,X,X,X,X,X,0,26,1638
States,New York,2016,33,8/15/2016,8/21/2016,August,X,0.182039,X,X,X,X,X,X,3,23,1648
States,New York,2016,34,8/22/2016,8/28/2016,August,X,0.031506,X,X,X,X,X,X,1,21,3174
States,New York,2016,35,8/29/2016,9/4/2016,September,X,0,X,X,X,X,X,X,0,24,4301
States,New York,2016,36,9/5/2016,9/11/2016,September,X,0.0777605,X,X,X,X,X,X,3,24,3858
States,New York,2016,37,9/12/2016,9/18/2016,September,X,0.183486,X,X,X,X,X,X,9,24,4905
States,New York,2016,38,9/19/2016,9/25/2016,September,X,0.0412967,X,X,X,X,X,X,2,24,4843
States,New York,2016,39,9/26/2016,10/2/2016,September,X,0.164406,X,X,X,X,X,X,8,25,4866
