PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New York,2016,40,X,0.725918,X,X,X,X,X,X,115,68,15842
States,New York,2016,41,X,0.945864,X,X,X,X,X,X,141,64,14907
States,New York,2016,42,X,1.10167,X,X,X,X,X,X,175,66,15885
States,New York,2016,43,X,0.898849,X,X,X,X,X,X,146,67,16243
States,New York,2016,44,X,0.918,X,X,X,X,X,X,148,71,16122
States,New York,2016,45,X,1.22738,X,X,X,X,X,X,194,69,15806
States,New York,2016,46,X,1.12103,X,X,X,X,X,X,182,70,16235
States,New York,2016,47,X,1.74806,X,X,X,X,X,X,194,72,11098
States,New York,2016,48,X,1.62637,X,X,X,X,X,X,261,71,16048
States,New York,2016,49,X,1.45618,X,X,X,X,X,X,223,70,15314
States,New York,2016,50,X,1.47612,X,X,X,X,X,X,208,69,14091
States,New York,2016,51,X,3.14039,X,X,X,X,X,X,389,68,12387
States,New York,2016,52,X,5.42753,X,X,X,X,X,X,537,64,9894
States,New York,2017,1,X,5.17272,X,X,X,X,X,X,584,65,11290
States,New York,2017,2,X,5.93932,X,X,X,X,X,X,736,67,12392
States,New York,2017,3,X,6.78861,X,X,X,X,X,X,913,68,13449
States,New York,2017,4,X,7.54014,X,X,X,X,X,X,1174,69,15570
States,New York,2017,5,X,8.68115,X,X,X,X,X,X,1431,69,16484
States,New York,2017,6,X,9.81455,X,X,X,X,X,X,1466,68,14937
States,New York,2017,7,X,8.27769,X,X,X,X,X,X,1153,66,13929
States,New York,2017,8,X,6.33198,X,X,X,X,X,X,811,67,12808
States,New York,2017,9,X,2.9721,X,X,X,X,X,X,407,67,13694
States,New York,2017,10,X,3.20508,X,X,X,X,X,X,419,66,13073
States,New York,2017,11,X,3.91216,X,X,X,X,X,X,383,64,9790
States,New York,2017,12,X,3.57547,X,X,X,X,X,X,505,68,14124
States,New York,2017,13,X,4.58545,X,X,X,X,X,X,568,66,12387
States,New York,2017,14,X,4.8662,X,X,X,X,X,X,591,63,12145
States,New York,2017,15,X,3.25149,X,X,X,X,X,X,343,58,10549
States,New York,2017,16,X,1.9606,X,X,X,X,X,X,209,56,10660
States,New York,2017,17,X,1.9738,X,X,X,X,X,X,217,57,10994
States,New York,2017,18,X,1.96009,X,X,X,X,X,X,221,56,11275
States,New York,2017,19,X,1.4525,X,X,X,X,X,X,163,55,11222
States,New York,2017,20,X,1.47045,X,X,X,X,X,X,154,54,10473
States,New York,2017,21,X,1.64255,X,X,X,X,X,X,143,44,8706
States,New York,2017,22,X,1.66997,X,X,X,X,X,X,101,43,6048
States,New York,2017,23,X,1.43437,X,X,X,X,X,X,106,42,7390
States,New York,2017,24,X,1.36968,X,X,X,X,X,X,104,43,7593
States,New York,2017,25,X,1.38908,X,X,X,X,X,X,100,42,7199
States,New York,2017,26,X,1.18149,X,X,X,X,X,X,83,43,7025
States,New York,2017,27,X,1.1153,X,X,X,X,X,X,74,43,6635
States,New York,2017,28,X,0.998308,X,X,X,X,X,X,59,43,5910
States,New York,2017,29,X,1.07903,X,X,X,X,X,X,74,42,6858
States,New York,2017,30,X,0.944611,X,X,X,X,X,X,66,41,6987
States,New York,2017,31,X,0.961125,X,X,X,X,X,X,67,41,6971
States,New York,2017,32,X,0.904343,X,X,X,X,X,X,71,41,7851
States,New York,2017,33,X,0.893612,X,X,X,X,X,X,74,40,8281
States,New York,2017,34,X,0.899017,X,X,X,X,X,X,86,41,9566
States,New York,2017,35,X,0.795934,X,X,X,X,X,X,83,40,10428
States,New York,2017,36,X,0.932594,X,X,X,X,X,X,79,41,8471
States,New York,2017,37,X,0.904698,X,X,X,X,X,X,88,40,9727
States,New York,2017,38,X,0.937442,X,X,X,X,X,X,101,42,10774
States,New York,2017,39,X,1.24783,X,X,X,X,X,X,122,39,9777
