"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","YEAR","MONTH",
0.00,80.00,"5X",19917,"United Parcel Service",10257,1025702,30257,"ALB","Albany, NY","NY",10529,1052904,30529,"BDL","Hartford, CT","CT",2015,4,
0.00,120.00,"5X",19917,"United Parcel Service",10257,1025702,30257,"ALB","Albany, NY","NY",15096,1509602,35096,"SYR","Syracuse, NY","NY",2015,4,
0.00,80.00,"5X",19917,"United Parcel Service",10529,1052904,30529,"BDL","Hartford, CT","CT",10257,1025702,30257,"ALB","Albany, NY","NY",2015,4,
0.00,279.00,"5X",19917,"United Parcel Service",10792,1079204,30792,"BUF","Buffalo, NY","NY",14100,1410002,34100,"PHL","Philadelphia, PA","PA",2015,4,
0.00,494.00,"5X",19917,"United Parcel Service",10792,1079204,30792,"BUF","Buffalo, NY","NY",14730,1473003,33044,"SDF","Louisville, KY","KY",2015,4,
0.00,133.00,"5X",19917,"United Parcel Service",10792,1079204,30792,"BUF","Buffalo, NY","NY",15096,1509602,35096,"SYR","Syracuse, NY","NY",2015,4,
0.00,944.00,"5X",19917,"United Parcel Service",12478,1247802,31703,"JFK","New York, NY","NY",13204,1320402,31454,"MCO","Orlando, FL","FL",2015,4,
0.00,94.00,"5X",19917,"United Parcel Service",12478,1247802,31703,"JFK","New York, NY","NY",14100,1410002,34100,"PHL","Philadelphia, PA","PA",2015,4,
0.00,802.00,"5X",19917,"United Parcel Service",12478,1247802,31703,"JFK","New York, NY","NY",14512,1451202,34512,"RFD","Rockford, IL","IL",2015,4,
0.00,662.00,"5X",19917,"United Parcel Service",12478,1247802,31703,"JFK","New York, NY","NY",14730,1473003,33044,"SDF","Louisville, KY","KY",2015,4,
0.00,212.00,"5X",19917,"United Parcel Service",14100,1410002,34100,"PHL","Philadelphia, PA","PA",10257,1025702,30257,"ALB","Albany, NY","NY",2015,4,
0.00,279.00,"5X",19917,"United Parcel Service",14100,1410002,34100,"PHL","Philadelphia, PA","PA",10792,1079204,30792,"BUF","Buffalo, NY","NY",2015,4,
0.00,802.00,"5X",19917,"United Parcel Service",14512,1451202,34512,"RFD","Rockford, IL","IL",12478,1247802,31703,"JFK","New York, NY","NY",2015,4,
0.00,494.00,"5X",19917,"United Parcel Service",14730,1473003,33044,"SDF","Louisville, KY","KY",10792,1079204,30792,"BUF","Buffalo, NY","NY",2015,4,
0.00,662.00,"5X",19917,"United Parcel Service",14730,1473003,33044,"SDF","Louisville, KY","KY",12478,1247802,31703,"JFK","New York, NY","NY",2015,4,
0.00,659.00,"5X",19917,"United Parcel Service",14730,1473003,33044,"SDF","Louisville, KY","KY",15070,1507002,31703,"SWF","Newburgh/Poughkeepsie, NY","NY",2015,4,
0.00,609.00,"5X",19917,"United Parcel Service",14730,1473003,33044,"SDF","Louisville, KY","KY",15096,1509602,35096,"SYR","Syracuse, NY","NY",2015,4,
0.00,989.00,"5X",19917,"United Parcel Service",15070,1507002,31703,"SWF","Newburgh/Poughkeepsie, NY","NY",13204,1320402,31454,"MCO","Orlando, FL","FL",2015,4,
0.00,659.00,"5X",19917,"United Parcel Service",15070,1507002,31703,"SWF","Newburgh/Poughkeepsie, NY","NY",14730,1473003,33044,"SDF","Louisville, KY","KY",2015,4,
0.00,133.00,"5X",19917,"United Parcel Service",15096,1509602,35096,"SYR","Syracuse, NY","NY",10792,1079204,30792,"BUF","Buffalo, NY","NY",2015,4,
0.00,237.00,"5X",19917,"United Parcel Service",15096,1509602,35096,"SYR","Syracuse, NY","NY",13296,1329604,30721,"MHT","Manchester, NH","NH",2015,4,
0.00,228.00,"5X",19917,"United Parcel Service",15096,1509602,35096,"SYR","Syracuse, NY","NY",14100,1410002,34100,"PHL","Philadelphia, PA","PA",2015,4,
0.00,448.00,"5X",19917,"United Parcel Service",15096,1509602,35096,"SYR","Syracuse, NY","NY",14574,1457402,34574,"ROA","Roanoke, VA","VA",2015,4,
0.00,609.00,"5X",19917,"United Parcel Service",15096,1509602,35096,"SYR","Syracuse, NY","NY",14730,1473003,33044,"SDF","Louisville, KY","KY",2015,4,
0.00,139.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10257,1025702,30257,"ALB","Albany, NY","NY",10434,1043403,30434,"AVP","Scranton/Wilkes-Barre, PA","PA",2015,4,
0.00,117.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10257,1025702,30257,"ALB","Albany, NY","NY",10577,1057703,30577,"BGM","Binghamton, NY","NY",2015,4,
0.00,251.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10257,1025702,30257,"ALB","Albany, NY","NY",10792,1079204,30792,"BUF","Buffalo, NY","NY",2015,4,
0.00,401.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10257,1025702,30257,"ALB","Albany, NY","NY",10990,1099002,30990,"CHO","Charlottesville, VA","VA",2015,4,
0.00,564.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10257,1025702,30257,"ALB","Albany, NY","NY",11995,1199502,31995,"GSO","Greensboro/High Point, NC","NC",2015,4,
0.00,121.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10257,1025702,30257,"ALB","Albany, NY","NY",13296,1329604,30721,"MHT","Manchester, NH","NH",2015,4,
0.00,247.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10257,1025702,30257,"ALB","Albany, NY","NY",14711,1471102,34711,"SCE","State College, PA","PA",2015,4,
0.00,120.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10257,1025702,30257,"ALB","Albany, NY","NY",15096,1509602,35096,"SYR","Syracuse, NY","NY",2015,4,
0.00,190.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10434,1043403,30434,"AVP","Scranton/Wilkes-Barre, PA","PA",10792,1079204,30792,"BUF","Buffalo, NY","NY",2015,4,
0.00,197.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10529,1052904,30529,"BDL","Hartford, CT","CT",12397,1239702,32397,"ITH","Ithaca/Cortland, NY","NY",2015,4,
0.00,117.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10577,1057703,30577,"BGM","Binghamton, NY","NY",10257,1025702,30257,"ALB","Albany, NY","NY",2015,4,
0.00,31.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10577,1057703,30577,"BGM","Binghamton, NY","NY",12397,1239702,32397,"ITH","Ithaca/Cortland, NY","NY",2015,4,
0.00,237.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10577,1057703,30577,"BGM","Binghamton, NY","NY",13296,1329604,30721,"MHT","Manchester, NH","NH",2015,4,
0.00,251.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10792,1079204,30792,"BUF","Buffalo, NY","NY",10257,1025702,30257,"ALB","Albany, NY","NY",2015,4,
0.00,548.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10792,1079204,30792,"BUF","Buffalo, NY","NY",11641,1164102,31641,"FAY","Fayetteville, NC","NC",2015,4,
0.00,476.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10792,1079204,30792,"BUF","Buffalo, NY","NY",11995,1199502,31995,"GSO","Greensboro/High Point, NC","NC",2015,4,
0.00,55.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10792,1079204,30792,"BUF","Buffalo, NY","NY",14576,1457604,34576,"ROC","Rochester, NY","NY",2015,4,
0.00,151.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10792,1079204,30792,"BUF","Buffalo, NY","NY",14711,1471102,34711,"SCE","State College, PA","PA",2015,4,
0.00,212.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10821,1082103,30852,"BWI","Baltimore, MD","MD",10577,1057703,30577,"BGM","Binghamton, NY","NY",2015,4,
0.00,273.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10821,1082103,30852,"BWI","Baltimore, MD","MD",15096,1509602,35096,"SYR","Syracuse, NY","NY",2015,4,
0.00,509.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",11146,1114604,31146,"CRW","Charleston/Dunbar, WV","WV",10257,1025702,30257,"ALB","Albany, NY","NY",2015,4,
0.00,548.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",11641,1164102,31641,"FAY","Fayetteville, NC","NC",10792,1079204,30792,"BUF","Buffalo, NY","NY",2015,4,
0.00,564.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",11641,1164102,31641,"FAY","Fayetteville, NC","NC",14576,1457604,34576,"ROC","Rochester, NY","NY",2015,4,
0.00,525.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",11995,1199502,31995,"GSO","Greensboro/High Point, NC","NC",15096,1509602,35096,"SYR","Syracuse, NY","NY",2015,4,
0.00,137.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",12397,1239702,32397,"ITH","Ithaca/Cortland, NY","NY",10257,1025702,30257,"ALB","Albany, NY","NY",2015,4,
0.00,88.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",12397,1239702,32397,"ITH","Ithaca/Cortland, NY","NY",10434,1043403,30434,"AVP","Scranton/Wilkes-Barre, PA","PA",2015,4,
0.00,31.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",12397,1239702,32397,"ITH","Ithaca/Cortland, NY","NY",10577,1057703,30577,"BGM","Binghamton, NY","NY",2015,4,
0.00,229.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",12397,1239702,32397,"ITH","Ithaca/Cortland, NY","NY",10821,1082103,30852,"BWI","Baltimore, MD","MD",2015,4,
